Req_ID,Category,Subcategory,Title,Priority,Status,Source,Parent_ATA,Verification_Method,Criticality
RQ-02-00-11-019,Documentation,Abbreviations,Abbreviations Approved List,High,Approved,Documentation Standards,02-00-00,Inspection,Operations
RQ-02-00-11-020,Documentation,Lifecycle,Document Lifecycle Managed,High,Approved,Quality Requirements,02-00-00,Demonstration,Operations
RQ-02-00-12-001,Environmental,Emissions,Zero Direct Emissions Operation,Critical,Approved,Environmental Policy,02-00-00,Test,Environmental
RQ-02-00-12-002,Environmental,Carbon,Net Negative CO2 via Capture,High,Approved,Environmental Policy,02-00-00,Test,Environmental
RQ-02-00-12-003,Environmental,Noise,Noise Reduction 50% Below Chapter 4,High,Approved,ICAO Annex 16,02-00-00,Test,Environmental
RQ-02-00-12-004,Environmental,Certification,Noise Certification Chapter 14,Critical,Approved,ICAO Annex 16,02-00-00,Test,Environmental
RQ-02-00-12-005,Environmental,Contrails,Contrail Reduction System,High,Approved,Environmental Policy,02-00-00,Demonstration,Environmental
RQ-02-00-12-006,Environmental,H2 Source,Sustainable H2 Source Required,High,Approved,Environmental Policy,02-30-00,Analysis,Environmental
RQ-02-00-12-007,Environmental,Lifecycle,Lifecycle Emissions Tracking,High,Approved,Environmental Policy,02-00-00,Demonstration,Environmental
RQ-02-00-12-008,Environmental,Reporting,Environmental Reporting Annual,High,Approved,Environmental Policy,02-00-00,Demonstration,Environmental
RQ-02-00-12-009,Environmental,Procedures,Noise Abatement Procedures,High,Approved,Operations Manual,02-00-00,Demonstration,Environmental
RQ-02-00-12-010,Environmental,Taxiing,Green Taxiing Electric Drive,High,Approved,Design Specification,02-00-00,Test,Environmental
RQ-02-00-12-011,Environmental,CO2 Capture,CO2 Capture 100 kg per Flight Hour,High,Approved,Design Specification,02-00-00,Test,Environmental
RQ-02-00-12-012,Environmental,CO2 Storage,CO2 Storage Capacity 1000 kg,High,Approved,Design Specification,02-00-00,Test,Performance
RQ-02-00-12-013,Environmental,Regeneration,Sorbent Regeneration on Ground,High,Approved,Operations Requirements,02-00-00,Demonstration,Operations
RQ-02-00-12-014,Environmental,EMS,Environmental Management System,High,Approved,ISO 14001,02-00-00,Demonstration,Environmental
RQ-02-00-12-015,Environmental,KPIs,Sustainability KPIs Tracked,High,Approved,Environmental Policy,02-00-00,Demonstration,Environmental
RQ-02-00-13-001,Interface,Maintenance,ATA 05 Maintenance Checks Interface,Critical,Approved,Integration Requirements,02-00-00,Analysis,Operations
RQ-02-00-13-002,Interface,Servicing,ATA 12 Servicing Interface,Critical,Approved,Integration Requirements,02-00-00,Analysis,Operations
RQ-02-00-13-003,Interface,ECS,ATA 21 ECS Operations Interface,High,Approved,Integration Requirements,02-00-00,Analysis,Operations
RQ-02-00-13-004,Interface,Electrical,ATA 24 Electrical Operations Interface,Critical,Approved,Integration Requirements,02-00-00,Analysis,Safety
RQ-02-00-13-005,Interface,Fuel,ATA 28 H2 Fuel System Interface,Critical,Approved,Integration Requirements,02-30-00,Analysis,Safety
RQ-02-00-13-006,Interface,Inerting,ATA 47 Inerting System Interface,Critical,Approved,Integration Requirements,02-30-00,Analysis,Safety
RQ-02-00-13-007,Interface,Power Plant,ATA 71 Fuel Cell Interface,Critical,Approved,Integration Requirements,02-90-00,Analysis,Safety
RQ-02-00-13-008,Interface,CAOS,ATA 95 CAOS Operations Interface,High,Approved,Integration Requirements,02-90-00,Analysis,Performance
RQ-02-00-13-009,Interface,GSE,Ground Support Equipment Interface,High,Approved,Operations Requirements,02-00-00,Analysis,Operations
RQ-02-00-13-010,Interface,Airport,Airport Infrastructure Interface,High,Approved,Operations Requirements,02-00-00,Analysis,Operations
RQ-02-00-13-011,Interface,ATC,ATC Systems Interface,Critical,Approved,Operations Requirements,02-00-00,Test,Safety
RQ-02-00-13-012,Interface,Weather,Weather Services Interface,High,Approved,Operations Requirements,02-00-00,Test,Operations
RQ-02-00-13-013,Interface,OCC,Company OCC Interface,High,Approved,Operations Requirements,02-00-00,Test,Operations
RQ-02-00-13-014,Interface,Maintenance Sys,Maintenance Systems Interface,High,Approved,Operations Requirements,02-00-00,Analysis,Operations
RQ-02-00-13-015,Interface,Flight Planning,Flight Planning Systems Interface,High,Approved,Operations Requirements,02-00-00,Test,Operations
RQ-02-00-14-001,Functional,Flight Planning,Flight Planning Function Complete,Critical,Approved,Functional Requirements,02-00-00,Test,Operations
RQ-02-00-14-002,Functional,Weight Balance,Weight & Balance Calculation Real-Time,Critical,Approved,Functional Requirements,02-00-00,Test,Safety
RQ-02-00-14-003,Functional,Performance,Performance Calculation Accurate,Critical,Approved,Functional Requirements,02-00-00,Test,Safety
RQ-02-00-14-004,Functional,Fuel Calc,H2 Fuel Calculation Function,Critical,Approved,Functional Requirements,02-30-00,Test,Safety
RQ-02-00-14-005,Functional,CG,CG Calculation Real-Time,Critical,Approved,Functional Requirements,02-00-00,Test,Safety
RQ-02-00-14-006,Functional,Takeoff,Takeoff Data Generation Automated,Critical,Approved,Functional Requirements,02-00-00,Test,Operations
RQ-02-00-14-007,Functional,Landing,Landing Data Generation Automated,Critical,Approved,Functional Requirements,02-00-00,Test,Operations
RQ-02-00-14-008,Functional,Route,Route Planning Function,High,Approved,Functional Requirements,02-00-00,Test,Operations
RQ-02-00-14-009,Functional,Altitude,Altitude Planning Function,High,Approved,Functional Requirements,02-00-00,Test,Operations
RQ-02-00-14-010,Functional,Speed,Speed Planning Function,High,Approved,Functional Requirements,02-00-00,Test,Operations
RQ-02-00-14-011,Functional,Weather,Weather Integration Function,High,Approved,Functional Requirements,02-00-00,Test,Operations
RQ-02-00-14-012,Functional,NOTAM,NOTAM Integration Function,High,Approved,Functional Requirements,02-00-00,Test,Operations
RQ-02-00-14-013,Functional,Airport Data,Airport Data Function,High,Approved,Functional Requirements,02-00-00,Test,Operations
RQ-02-00-14-014,Functional,Checklist,Electronic Checklist Function,Critical,Approved,Functional Requirements,02-00-00,Test,Operations
RQ-02-00-14-015,Functional,Procedures,Digital Procedures Function,High,Approved,Functional Requirements,02-00-00,Test,Operations
RQ-02-00-14-016,Functional,Monitoring,Real-Time Monitoring Function,Critical,Approved,Functional Requirements,02-00-00,Test,Safety
RQ-02-00-14-017,Functional,Alerting,Alerting Function Complete,Critical,Approved,Functional Requirements,02-00-00,Test,Safety
RQ-02-00-14-018,Functional,Decision Support,Decision Support Function,High,Approved,Functional Requirements,02-00-00,Test,Operations
RQ-02-00-14-019,Functional,Recording,Data Recording Function,Critical,Approved,Functional Requirements,02-00-00,Test,Safety
RQ-02-00-14-020,Functional,Fleet Sharing,Fleet Data Sharing Function,High,Approved,Functional Requirements,02-90-00,Test,Performance
